timestamp,source,class_name,confidence,x1,y1,x2,y2
2026-05-21 16:38:41,Cars Moving On Road Stock Footage - Free Download.mp4_frame_14,truck,0.4111,1335.14,152.35,1534.43,340.0
2026-05-21 16:38:41,Cars Moving On Road Stock Footage - Free Download.mp4_frame_14,person,0.3469,1825.18,0.36,1852.75,59.01
2026-05-21 16:38:41,Cars Moving On Road Stock Footage - Free Download.mp4_frame_15,car,0.6685,1341.45,165.91,1545.92,361.26
2026-05-21 16:38:41,Cars Moving On Road Stock Footage - Free Download.mp4_frame_15,person,0.3232,1823.2,0.0,1854.77,60.61
2026-05-21 16:38:41,Cars Moving On Road Stock Footage - Free Download.mp4_frame_15,truck,0.32,1342.15,167.49,1548.37,362.86
2026-05-21 16:38:41,Cars Moving On Road Stock Footage - Free Download.mp4_frame_16,car,0.4869,1351.88,178.86,1562.56,379.6
2026-05-21 16:38:41,Cars Moving On Road Stock Footage - Free Download.mp4_frame_16,person,0.4002,1820.16,0.0,1852.01,64.34
2026-05-21 16:38:42,Cars Moving On Road Stock Footage - Free Download.mp4_frame_17,car,0.5912,1362.11,186.99,1582.94,396.89
2026-05-21 16:38:42,Cars Moving On Road Stock Footage - Free Download.mp4_frame_17,person,0.3693,1822.0,0.15,1853.36,64.92
2026-05-21 16:38:42,Cars Moving On Road Stock Footage - Free Download.mp4_frame_18,car,0.6453,1371.73,200.37,1598.17,417.94
2026-05-21 16:38:42,Cars Moving On Road Stock Footage - Free Download.mp4_frame_18,person,0.324,1822.17,0.31,1854.02,65.3
2026-05-21 16:38:42,Cars Moving On Road Stock Footage - Free Download.mp4_frame_19,car,0.6801,1379.8,214.72,1619.7,439.73
2026-05-21 16:38:42,Cars Moving On Road Stock Footage - Free Download.mp4_frame_19,person,0.3634,1819.08,0.67,1855.19,65.94
2026-05-21 16:38:42,Cars Moving On Road Stock Footage - Free Download.mp4_frame_20,car,0.7212,1390.76,223.58,1640.24,462.2
2026-05-21 16:38:42,Cars Moving On Road Stock Footage - Free Download.mp4_frame_20,person,0.3858,1818.16,0.0,1853.72,64.66
